,osm_address,district
436,"Москва, Ленинский проспект, 61/1",Гагаринский район
437,"Москва, Ленинский проспект, 68/10",Гагаринский район
438,"Москва, Ленинский проспект, 82/2",Ломоносовский район
439,"Москва, Ленинский проспект, 87",Ломоносовский район
440,"Москва, Ленинский проспект, 91",Ломоносовский район
441,"Москва, Ленинский проспект, 95",Ломоносовский район
442,"Москва, Ленинский проспект, 99",район Проспект Вернадского
443,"Москва, Ленинский проспект, 148",Тропарёво
444,"Москва, улица Лескова, 3А",район Бибирево
445,"Москва, улица Лескова, 6",район Бибирево
446,"Москва, Лесная улица, 10-16",Сущёво
447,"Москва, Лесная улица, 20",Малино
448,"Москва, Лесная улица, 45",Сущёво
449,"Москва, улица Лестева, 21/61",Даниловский район
450,"Москва, Лиственничная аллея, 2Б",Нижние Лихоборы
451,"Москва, Лиственничная аллея, 2А",Нижние Лихоборы
452,"Москва, Лиственничная аллея, 12",Нижние Лихоборы
453,"Москва, 3-й Нижнелихоборский проезд, 15/27",Нижние Лихоборы
454,"Москва, Ломоносовский проспект, 7",Гагаринский район
455,"Москва, Ломоносовский проспект, 31",район Раменки
456,"Москва, Лосиноостровская улица, 2",район Богородское
457,"Москва, улица Малая Лубянка, 16",Красносельский район
458,"Москва, Лужнецкий проезд, 1",район Хамовники
459,"Москва, Люсиновская улица, 36/50",район Замоскворечье
460,"Москва, Люсиновская улица, 41",район Замоскворечье
461,"Москва, Люсиновская улица, 53",Даниловский район
462,"Москва, Люсиновская улица, 55",Даниловский район
463,"Москва, Лялин переулок, 7/2",Хитровка
464,"Москва, Магнитогорская улица, 7",Южное Измайлово
465,"Москва, Магнитогорская улица, 19",Южное Измайлово
466,"Москва, улица Макаренко, 2/21",Басманный район
467,"Москва, Космодамианская набережная, 40-42",Садовники
468,"Москва, Мантулинская улица, 10",Пресненский район
469,"Москва, Мантулинская улица, 18",Пресненский район
470,"Москва, Люблинская улица, 121/1",район Люблино
471,"Москва, Марксистская улица, 5",Кошельная слобода
472,"Москва, Марксистская улица, 9",Кошельная слобода
473,"Москва, Мартеновская улица, 9/13",район Перово
474,"Москва, Милютинский переулок, 3",Красносельский район
475,"Москва, Милютинский переулок, 19/4",Красносельский район
476,"Москва, улица Верхняя Масловка, 21",Савёловский район
477,"Москва, улица Верхняя Масловка, 29",район Аэропорт
478,"Москва, улица Нижняя Масловка, 5",район Беговой
479,"Москва, улица Нижняя Масловка, 14",Савёловский район
480,"Москва, улица Мастеркова, 3",Даниловский район
481,"Москва, улица Матросская Тишина, 23/7",район Сокольники
482,"Москва, улица Покровка, 41",Басманный район
483,"Москва, улица Машкова, 22",Хитровка
484,"Москва, Медынская улица, 5",район Бирюлёво Западное
485,"Москва, улица Менжинского, 3",Лосиноостровский район
486,"Москва, улица Металлургов, 7/18",район Перово
487,"Москва, улица Металлургов, 29",район Перово
488,"Москва, Мещанская улица, 12",Напрудное
489,"Москва, улица Миклухо-Маклая, 3",Обручевский район
490,"Москва, улица Миклухо-Маклая, 5",Обручевский район
491,"Москва, улица Миклухо-Маклая, 9",Обручевский район
492,"Москва, улица Миклухо-Маклая, 13",Обручевский район
493,"Москва, улица Миклухо-Маклая, 15",Обручевский район
494,"Москва, улица Миклухо-Маклая, 17",Обручевский район
